"Product","Sport","BundlePurchased","IncludedBundles","AddOn","ProductType","DeliveryMethodFormat","DeliveryPlatform","FeedCode","FeedWidgetName","Notes","InitialDeliveryDate"
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Stats API","N/A","Player Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_SHOT_TYPE_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F37","Referee Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","PE3","Referees","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_TEAM_STATS.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Stats API","N/A","Team Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_LEADERS.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F30","Season Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F36","Season Standings","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F15","Rankings","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_FINALBOX$.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_GOAL_ZONE_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_GOAL_SITUATION_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_TOUCH_TYPE_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Stats API","N/A","In-progress Box","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","TM7","Transfers","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Stats API","N/A","Player Logs","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_TRANSFERS.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F50","Main key events","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Stats API","N/A","Transfers","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_ROSTER_COUNTRY.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","MA50","Manager Preview","[NULL]","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_EVENT_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","PE4","Rankings","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Stats API","N/A","Leaders","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","MA2_detailed","Detailed Match Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","PE2","Player Career","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","PE12","Player Contract","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F34","live basic rankings","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_SAVE_TYPE_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","PE13","Referee Stats","[NULL]","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F13","Auto Text Commentary","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","MAR","Match Reference","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F38","Transfers","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","TM8","Trophies","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F33","Split Season Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_PBP_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium Low Latency","No","Feed","API/ Feed - Data","SDDP","MA2DP","Match Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","SDAPI","TM1","Teams","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","Opta","F8","Live Team + Player Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","Stats API","N/A","Rosters","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","Stats API","N/A","In-Progress Scores","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","SDAPI","DEL","Deletions","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","Opta","F26","Live Scores","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","SDAPI","MA8","Match Preview","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","STATS XML","_LIVE.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","SDAPI","OT4","Areas","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","SDAPI","TM3","Squads","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","Opta","F2","Match Preview","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","SDAPI","MA2_basic_team","Basic Match Stats without Player Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","Stats API","N/A","Coaches","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","STATS XML","_ROSTER.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","SDAPI","MA2_basic","Basic Match Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","Opta","F7","Basic Live Events","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","SDAPI","MA1_live","Fixtures/live scores/results","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Live","No","Feed","API/ Feed - Data","Opta","F40","Squads","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_SCHEDULE.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","SDAPI","OT3","Venues","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","SDAPI","CON","Allowed Content Indicator","[NULL]","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_GAME_STATUS_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_VENUES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","SDAPI","MA1_basic","Fixtures/results","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","SDAPI","DEC","Decode","[NULL]","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_TV_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_CLINCH_TYPE_CODES.XML   ","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","Stats API","N/A","Final Scores","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_TEAM_STANDINGS.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","SDAPI","TM2","Standings","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","Opta","F1","Fixtures & Results","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","SDAPI","MA0","Tournament Schedule","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_LEAGUES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","Opta","F42","Fixtures, results, Squads, Standings","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_FINALS.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","SDAPI","MAP","Mappings","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_TEAM_INFO.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","Stats API","N/A","Venues","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","Opta","F3","Standings","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","SDAPI","TM16","Conestant Participation","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","Stats API","N/A","Standings","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","Stats API","N/A","Schedules","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_GAME_TYPES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","SDAPI","OT2","Tournament Calendar","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores - Post","No","Feed","API/ Feed - Data","Opta","F45","Venues","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Scores Live Low Latency","No","Feed","API/ Feed - Data","SDDP","MA1DP","Live Score","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
